run_id,reference_file,reference_sheet,network,function,mml_object,parameter_id,recommend_value,status,input_files,config_sheet,config_column,bit_name,objects_checked,match_count,mismatch_count,actual_top,remark
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLALGOSWITCH,NR_NR_ANR_SW@AnrSwitch,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRCellAlgoSwitch,ANR Switch,NR_NR_ANR_SW,673,670,3,5G_ConfigurationData_15Sep26.xlsb: 1 (670) | 5G_ConfigurationData_15Sep26.xlsb: 0 (3),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLALGOSWITCH,NR_NR_FAST_ANR_SW@AnrSwitch,0,Consistent,5G_ConfigurationData_15Sep26.xlsb,NRCellAlgoSwitch,ANR Switch,NR_NR_FAST_ANR_SW,673,673,0,5G_ConfigurationData_15Sep26.xlsb: 0 (673),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLALGOSWITCH,AUTO_NR_FREQ_RELATION_SW@AnrSwitch,0,Consistent,5G_ConfigurationData_15Sep26.xlsb,NRCellAlgoSwitch,ANR Switch,AUTO_NR_FREQ_RELATION_SW,673,673,0,5G_ConfigurationData_15Sep26.xlsb: 0 (673),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLALGOSWITCH,NR_NR_ANR_AUTO_NO_HO_SW@AnrSwitch,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRCellAlgoSwitch,ANR Switch,NR_NR_ANR_AUTO_NO_HO_SW,673,670,3,5G_ConfigurationData_15Sep26.xlsb: 1 (670) | 5G_ConfigurationData_15Sep26.xlsb: 0 (3),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCellAlgoSwitch,NR_NR_ANR_DEL_SW@AnrSwitch,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRCellAlgoSwitch,ANR Switch,NR_NR_ANR_DEL_SW,673,670,3,5G_ConfigurationData_15Sep26.xlsb: 1 (670) | 5G_ConfigurationData_15Sep26.xlsb: 0 (3),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLANR,PeriodForDelNrt,7,Consistent,5G_ConfigurationData_15Sep26.xlsb,NRCellAnr,Period for Delete NRT(day),,673,673,0,5G_ConfigurationData_15Sep26.xlsb: 7 (673),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLANR,AutoDelNCellPenaltyPeriod,10080,Consistent,5G_ConfigurationData_15Sep26.xlsb,NRCellAnr,Auto Deleted Neighbor Cell Penalty Period(min),,673,673,0,5G_ConfigurationData_15Sep26.xlsb: 10080 (673),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLANR,AutoDelNCellPenaltyNum,50,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRCellAnr,Auto Deleted Neighbor Cell Penalty Number,,673,666,7,5G_ConfigurationData_15Sep26.xlsb: 50 (666) | 5G_ConfigurationData_15Sep26.xlsb: 1 (7),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLANR,NrNCellNoHoResIntvl,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRCellAnr,NR Neighbor Cell No HO Restore Interval(day),,673,670,3,5G_ConfigurationData_15Sep26.xlsb: 1 (670) | 5G_ConfigurationData_15Sep26.xlsb: 30 (3),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLFEATURESW,AHR_PHASE1_SW@AHRSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellFeatureSw,AHR Switch,AHR_PHASE1_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (655) | 5G_ConfigurationData_15Sep26.xlsb: 0 (18),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLCSIRS,CSIRSCELLRESOURCENUM,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellCsirs,CSIRS Cell Resource Number,,673,0,0,5G_ConfigurationData_15Sep26.xlsb: FD_RESOURCE (672) | 5G_ConfigurationData_15Sep26.xlsb: 4_RESOURCE (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLCSIRS,CSIRSBEAMTYPE,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellCsirs,CSI-RS Beam Type,,673,0,0,5G_ConfigurationData_15Sep26.xlsb: TYPE0 (673),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLCSIRS,CSIRS_INTRF_STATIC_AVOID_SW@CSISWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellCsirs,CSI Switch,CSIRS_INTRF_STATIC_AVOID_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLPDSCH,FIXEDAMCSTEPVALUE,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellPdsch,Fixed AMC Step Value,,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 40 (672) | 5G_ConfigurationData_15Sep26.xlsb: 20 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLPDSCH,DLINITIALMCSADJVALUE,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellPdsch,Downlink Initial MCS Adjust Value,,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 0 (672) | 5G_ConfigurationData_15Sep26.xlsb: -4 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLPDSCH,DLDELAYSCHBUFFERTHLD,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellPdsch,DL Delay Schedule Buffer Threshold,,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (673),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLPDSCH,DLSCHOPTTIMETHLD,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellPdsch,Downlink Schedule Opt Time Threshold(slot),,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 300 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLSERVEXP,EXP_BASED_MM_ADAPT_SCH_SW@SERVICEEXPALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellServExp,Service Experience Algorithm Switch,EXP_BASED_MM_ADAPT_SCH_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (655) | 5G_ConfigurationData_15Sep26.xlsb: 0 (18),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLSERVEXP,RES_BASED_MM_ADAPT_SCH_SW@SERVICEEXPALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellServExp,Service Experience Algorithm Switch,RES_BASED_MM_ADAPT_SCH_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (655) | 5G_ConfigurationData_15Sep26.xlsb: 0 (18),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLFEATURESW,AHR_EXP_TURBO_PHASE2_SW@AHRSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellFeatureSw,AHR Switch,AHR_EXP_TURBO_PHASE2_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (655) | 5G_ConfigurationData_15Sep26.xlsb: 0 (18),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLPDSCH,TAIL_PKT_SCH_OPT_SW@DLPDSCHALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellPdsch,Downlink PDSCH Algorithm Switch,TAIL_PKT_SCH_OPT_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLSRS,BEAM_SPECIFIC_SRS_DENOISE_SW@SRSDETECTIONALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellSrs,SRS Detection Algorithm Switch,BEAM_SPECIFIC_SRS_DENOISE_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (565) | 5G_ConfigurationData_15Sep26.xlsb: 0 (108),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
